id,claim,category,source,evidence,verificationStatus,publishableNow,owner,lastVerified,requiredAction
C12,CyclOps - Duosis'in kendi urunu,product,SRC-02 brief + SRC-03/SRC-04 CyclOps sunumu,"DURUM DEGISTI (S03). Artik ic kaynak MEVCUT: 22 sayfalik CyclOps sunumu (asli SRC-03 PPTX kullanici beyani, calisma alanindaki SRC-04 PDF turevi). Bu, S00'daki 'urun kaniti yok' durumunu kaldirir. Ancak sunum bir IC kaynaktir: kamuya acik iddia icin surum, lansman durumu, musteri kullanimi ve yayin izni hala dogrulanmamistir.",internal-source-available-public-pending,NO,Duosis urun,2026-09-08 (SRC-01+SRC-02),"S08 TASLAK GELISTIRME ICIN ACIK (draft authoring allowed). Public yayin icin dogrulama kontrollu kalir: surum, lansman durumu, ekran goruntusu yayin izni ve musteri kullanimi is sahibi onayi gerekir. Asli PPTX (SRC-03) S08 oncesinde calisma alanina alinmalidir."
C25,CyclOps yazim bicimi,brand,SRC-02 brief + plan paketi 00,"Brief ve plan paketi 'CyclOps' yazimini kullaniyor (C buyuk, O buyuk). Baska kaynak yok.",source-present-owner-unverified,NO,Duosis marka,2026-09-08 (SRC-02),Marka ekibi farkli yazim onaylarsa icerik verisinden degistirilecek
C09,Marka slogani: 'IT for More',brand,duosis.com logo + SRC-01 sunum logosu,Logo kilit isaretinde gorunur. Sunumun 17 slaydinin tamaminda ayni logo 'IT for More' ile kullanilmis - yani slogan aktif olarak kullaniliyor.,verified-on-site,YES,Duosis pazarlama,2026-09-08 (SRC-01),Yeni ana mesaj ile iliskisi netlesmeli: slogan korunacak mi?
C26,Ana mesaj hiyerarsisi: marka vaadi + hero deger onermesi,brand,SRC-02 brief + canli site H1,"Iki mesaj birbirini dislamiyor, farkli katmanlarda calisiyor. MARKA VAADI / DESTEK MESAJI: 'Islerinizi kolaylastiriyoruz.' (brief SRC-02 marka sesi; canli site H1'i de bu). ANA HERO DEGER ONERMESI: 'Operasyonu gorun. Veriyi baglayin. AI ile harekete gecin.' (plan paketi 00/01).",planning-decision,CONDITIONAL,Duosis pazarlama,2026-09-08 (SRC-02),Codex planlama karari: hiyerarsi kabul edildi; iki mesaj birlikte kullanilacak. Nihai kelime secimi pazarlama onayi bekliyor.
C27,Yontem: Analiz -> Tasarim -> Uygulama -> Destek,fact,SRC-01 sunum slayt 3 ve 5,Slayt 3'te 'Analiz -> Tasarim -> Uygulama -> Destek' akisi; slayt 5'te '1 Ihtiyac analizi / 2 Cozum tasarimi / 3 Canliya alma / 4 Egitim & destek' adimlari. Plan paketi 01 §4 ile ('Analiz -> Tasarim -> Uygulama -> Operasyon/Destek') uyumlu.,source-present-owner-unverified,CONDITIONAL,Duosis pazarlama,2026-09-08 (SRC-01),Kaynakla plan paketi uyumlu; metin cilalamasi icin onay yeterli
C05,"Istanbul ofis adresi (Brandium R2, Atasehir)",fact,duosis.com footer,Tum sayfalarin footer'inda yayinda.,verified-on-site,YES,Duosis yonetim,2026-09-07 (canli site),Guncelligi is sahibince teyit edilmeli
C06,Ankara ofis adresi (Cankaya),fact,duosis.com footer,Footer'da yayinda. Brief de '/hakkimizda' icin 'ofisler (Istanbul + Ankara)' diyor - iki kaynak uyumlu.,verified-on-site,YES,Duosis yonetim,2026-09-08,Guncelligi teyit edilmeli
C07,Telefon: 0(216) 999 98 57 / 0(216) 212 51 52,fact,duosis.com header+footer,Header ve footer'da yayinda.,verified-on-site,YES,Duosis yonetim,2026-09-07 (canli site),Guncelligi teyit edilmeli
C08,E-posta: info@duosis.com,fact,duosis.com footer,Footer'da yayinda.,verified-on-site,YES,Duosis yonetim,2026-09-07 (canli site),Form hedefi olarak kullanilacaksa CRM karari gerekli (brief: e-posta fallback yeterli)
C10,Marka rengi: #16A6D9 / #16A6DE (cyan-mavi),brand,logo.svg + logo-white.svg olcumu,"SVG'den olculdu. hsl(196,82%,47%). Ayni logoda iki farkli cyan ve iki farkli ink degeri var.",verified-measured,YES,Duosis pazarlama,2026-09-07 (olcum),Tek kanonik deger secilmeli. Plan 'turkuaz' diyor; olculen renk gok mavisi tonunda
C11,Marka cyani #16A6D9 beyaz zeminde metin veya link rengi olarak dogrudan kullanilamaz,design-constraint,WCAG 2.2 kontrast hesabi,"#16A6D9 / #FFFFFF = 2.80:1. AA normal (4.5:1) FAIL, AA buyuk (3:1) FAIL. Ink zeminde (#252A2E) 5.17:1 PASS. Olcum WCAG 2.x relative luminance formuluyle yapildi.",verified-measured,YES,Tasarim,2026-09-07 (hesap),S03'te paper yuzeyler icin ayni hue uzerinde AA'yi gecen koyulastirilmis marka varyanti turetilmeli - zorunlu. Tam doygun cyan yalnizca ink zeminlerde ve dekoratif/isaret rolunde kullanilir.
C13,ATM otomasyon cozumu (Micro Focus ile),case,duosis.com/atm-ve-kiosk-otomasyonu/ (10 Eyl 2019),Blog yazisi yayinda; musteri adi verilmiyor. 'Micro Focus' adi kullanilmis - marka artik OpenText. Sunumda ATM/kiosk basligi YOK.,stale,CONDITIONAL,Duosis pazarlama,2019-09-10 (yayin),Yeniden yayinlanacaksa OpenText olarak guncellenmeli; ROI/PCI-DSS ifadeleri dogrulanmali
C14,Musteri logolarinin web sitesinde kullanimi,proof,duosis.com/basvuru-formu/ + SRC-01 slayt 7,Canli sitede 'Referanslarimiz' basligi altindaki [gslogo id=1] shortcode'u render EDILMIYOR - yani sitede yayinlanan musteri logosu YOK. Sunumda ise ~29 logo mevcut (bkz. C23).,pending,NO,Duosis satis + hukuk,2026-09-08,Yazili kullanim izni olmadan hicbir musteri logosu kullanilmayacak
C15,ISO 27001 / kalite sertifikasyonu,claim,-,Sitede 'Bilgi Guvenligi Yonetim Sistemi Politikamiz' sayfasi var ancak sertifika numarasi yok. Sunumda ve brief'te de sertifika ifadesi YOK.,pending,NO,Duosis kalite,-,Sertifika varsa numara/kapsam/gecerlilik ile dogrulanmali; yoksa iddia edilmeyecek
C16,Blog/Icgoruler icerik varligi,content,post-sitemap.xml,"Toplam 2 blog yazisi (2019-09-10 ve 2020-08-04), her ikisi 2024-06-23'te guncellenmis.",verified-on-site,YES,Duosis pazarlama,2026-09-07 (canli site),S11 yayin modeli icin icerik uretim kaynagi planlanmali
C17,Mevcut Ingilizce site bulunmuyor,fact,canli site testi,"html lang='tr'; hreflang etiketi YOK; /en/, /en ve /english/ istekleri 404 dondu. Site tek dilli.",verified-measured,YES,-,2026-09-07 (olcum),EN icerik sifirdan yazilacak; ceviri kaynagi/onaylayicisi belirlenmeli
C18,Mevcut site son guncelleme durumu,fact,sitemap lastmod,"53 URL'nin 50'si 2024'te, ana sayfa 2024-08-07'de son guncellenmis.",verified-measured,YES,-,2026-09-07 (olcum),Icerik tazeligi yenileme gerekcesini destekliyor
C28,Duosis 2016'da kuruldu,metric,SRC-05 10. yil manifesto HTML,Manifesto zaman cizelgesi: '2016 - Kurulus & ilk partnerlik'. Baska bagimsiz kaynak yok.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C29,2017 sonunda 5+ kurumsal musteri,metric,SRC-05 10. yil manifesto HTML,Manifesto: '2017 sonu - Ilk kurumsal ivme - 5+ kurumsal musteriye ulasildi'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C30,2020 sonunda 15+ kurumsal musteri,metric,SRC-05 10. yil manifesto HTML,Manifesto: '2020 sonu - Olcek ikiye katlandi - 15+ musteri'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C31,2021 sonunda 25+ kurumsal musteri,metric,SRC-05 10. yil manifesto HTML,Manifesto: '2021 - Acik kaynaga acilim - yil sonunda 25+ kurumsal musteri'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C32,2023 sonunda 35+ kurumsal musteri,metric,SRC-05 10. yil manifesto HTML,Manifesto: '2023 - Device42 & 35+ musteri'. S00'daki B30 sayimiyla karistirilmamalidir.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C33,2026'da 50+ kurumsal musteri,metric,SRC-05 10. yil manifesto HTML,"Manifesto: '2026 sonu - On yil - 50'den fazla kurumsal musteri'. S00-R1'de '50+' zaten 'kaynakta mevcut, dogrulama bekliyor' olarak siniflandirilmisti.",source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C34,MicroFocus / OpenText partnerligi 2016'da basladi,fact,SRC-05 10. yil manifesto HTML,Manifesto: 'MicroFocus / OpenText partnerligiyle IT yonetim yazilimlari alaninda yola cikildi'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C35,IBM Instana partnerligi 2022,fact,SRC-05 10. yil manifesto HTML,Manifesto: '2022 - Uygulama performans izlemede (APM) IBM Instana partnerligi ve projeleri'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C36,Device42 partnerligi 2023,fact,SRC-05 10. yil manifesto HTML,Manifesto: '2023 - Kesif ve bagimlilik haritalamada Device42 partnerligi'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C37,Confluent partnerligi 2024,fact,SRC-05 10. yil manifesto HTML,Manifesto: '2024 - Veri akisi ve gozlemlenebilirlikte Confluent ve Datadog partnerlikleri'.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C38,Datadog partnerligi 2024,fact,SRC-05 10. yil manifesto HTML,Manifesto: C37 ile ayni satir. Iki partnerlik tek yilda belirtilmis.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C39,2018'de IGA (kimlik yonetisimi) alanina genisleme,fact,SRC-05 10. yil manifesto HTML,Manifesto: '2018 - IGA projesi - Kimlik yonetisimi ve erisim yonetimi (IGA) alanina genisleme'. Tek proje mi surekli yetenek mi belirsiz.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C40,Banka ATM agini uctan uca yoneten ATM otomasyonu,case,SRC-05 10. yil manifesto HTML,"Manifesto: 'Elimizdeki otomasyon cozumunu, bir bankanin ATM agini uctan uca yoneten bir ATM otomasyonuna evirdik'. Musteri adi verilmemis; verilmemelidir de.",source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C41,Havalimani kampus izleme ve otomasyon cozumu (2019),case,SRC-05 10. yil manifesto HTML,Manifesto: '2019 - Havalimani kampus izleme ve otomasyon cozumu ile ESM projesi devreye alindi'. Musteri adi yok.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C42,ITSM'den ESM'e (kurumsal hizmet yonetimi) genisleme (2019),fact,SRC-05 10. yil manifesto HTML,"Manifesto: 'Klasik ITSM yaklasimini, tum kurumu kapsayan bir kurumsal hizmet yonetimine (ESM) genislettik'.",source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C43,Data Lake uzerinde ML/AI projeleri (2025),claim,SRC-05 10. yil manifesto HTML,"Manifesto: '2025 - Veri golu uzerinde makine ogrenmesi ve yapay zeka projeleri'. Teknik kanit, mimari veya musteri referansi YOK; yalnizca anlati.",source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C44,"Hizmet verilen sektorler: Finans/Banka, Telekom, Havalimani, Perakende, Uretim",fact,SRC-05 10. yil manifesto HTML,Manifesto 'hizmet verdigimiz sektorler' bolumu bes sektor sayiyor. Sektor basina musteri sayisi verilmemis.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
C45,"Partner basina musteri sayilari (Confluent 2, Datadog 10+, Instana 5+, Device42 10+, Zabbix 10+, OpenTelemetry 3, Data Lake/ML/AI/LLM 5 proje)",metric,SRC-05 10. yil manifesto HTML,Manifesto 'Partnerlikler rakama donustu' bolumu. Bu sayilar C29-C33 toplam musteri sayilariyla CAPRAZ DOGRULANMADI; toplamlari 50+ ile tutarli gorunse de ayni musteri birden fazla partnerde sayilmis olabilir.,source-present-owner-unverified,NO,Duosis yonetim,2026-09-08 (SRC-05),Is sahibi dogrulamasi olmadan yayinlanmaz. Dogrulanirsa iceriktekiverificationStatus 'verified' yapilir; kod degisikligi gerekmez.
